# Решения: одно решение — одна строка, с якорем в обеих половинах.
#
# Засеяно scripts/seed-facts-decisions.py, проверяется
# scripts/check-facts-decisions.sh: дата в реестре обязана совпасть с
# датой на обеих строках-якорях, а якорь — существовать.
#
# Строки, которые скрипт сопоставить не смог, в реестр НЕ попадают:
# угаданная пара хуже отсутствующей.
#
id	date	ru	en	subject_ru	subject_en
app-prototype-spec.2026-08-27.142	2026-08-27	xor.ad/docs/app-prototype-spec_RU.md:142	xor.ad/docs/app-prototype-spec_EN.md:142	выбирает	chooses
app-prototype-spec.2026-08-27.145	2026-08-27	xor.ad/docs/app-prototype-spec_RU.md:145	xor.ad/docs/app-prototype-spec_EN.md:145	без счётчика	without one
design-system-app.2026-08-31.3	2026-08-31	xor.ad/docs/design-system-app_RU.md:3	xor.ad/docs/design-system-app_EN.md:3	Решено 31.08.2026, первое решение этапа 1.	Decided 2026-08-31, the first decision of stage 1.
design-system-app.2026-08-31.102	2026-08-31	xor.ad/docs/design-system-app_RU.md:496	xor.ad/docs/design-system-app_EN.md:514	Шкала отступов заведена 31.08.2026 — и её не наследуют.	A spacing scale exists as of 2026-08-31 — and the storefronts do not i
test-map.2026-08-26.129	2026-08-26	xor.ad/docs/test-map_RU.md:144	xor.ad/docs/test-map_EN.md:143	Фраза выходит, только когда приняты и она, и имя	A phrase goes out only when both it and the name are accepted
test-map.2026-08-26.154	2026-08-26	xor.ad/docs/test-map_RU.md:169	xor.ad/docs/test-map_EN.md:168	Узел отдаёт ступень, а не точное число	The node returns a step, not an exact number
test-map.2026-08-26.163	2026-08-26	xor.ad/docs/test-map_RU.md:178	xor.ad/docs/test-map_EN.md:177	Лайк недоступен без своей живой фразы	Liking is unavailable without a live phrase of one's own
test-map.2026-08-26.195	2026-08-26	xor.ad/docs/test-map_RU.md:210	xor.ad/docs/test-map_EN.md:209	Бумажный код на этом шаге не спрашивается	The paper code is not asked for at this step
test-map.2026-08-26.275	2026-08-26	xor.ad/docs/test-map_RU.md:293	xor.ad/docs/test-map_EN.md:292	Исключение названо: колоду и кости узел видит	The exception is named: the node sees decks and dice
test-map.2026-08-27.126	2026-08-27	xor.ad/docs/test-map_RU.md:136	xor.ad/docs/test-map_EN.md:135	Число, обещанное правилами сообщества, совпадает с конфигом	The number promised by the community rules matches the config
test-map.2026-08-28.125	2026-08-28	xor.ad/docs/test-map_RU.md:135	xor.ad/docs/test-map_EN.md:134	Рабочая точка живёт в конфиге узла, а не в коде	The operating point lives in the node's config, not in code
test-map.2026-08-28.175	2026-08-28	xor.ad/docs/test-map_RU.md:190	xor.ad/docs/test-map_EN.md:189	«Не сейчас» гасит карточку только у отказавшегося	"Not now" clears the card for the refuser only
test-map.2026-08-28.290	2026-08-28	xor.ad/docs/test-map_RU.md:309	xor.ad/docs/test-map_EN.md:308	Уведомление по ст. 16 принимается на реплику за столом	An Article 16 notice is accepted about a line at a table
test-map.2026-08-29.176	2026-08-29	xor.ad/docs/test-map_RU.md:191	xor.ad/docs/test-map_EN.md:190	Принятая редакция сверяется хэшем	The accepted revision is checked by hash
test-map.2026-08-29.177	2026-08-29	xor.ad/docs/test-map_RU.md:192	xor.ad/docs/test-map_EN.md:191	Дата документа держится против его текста	A document's date is held against its text
test-map.2026-08-29.178	2026-08-29	xor.ad/docs/test-map_RU.md:193	xor.ad/docs/test-map_EN.md:192	Отказ `legal_reacceptance_required`	The `legal_reacceptance_required` refusal
test-map.2026-08-29.179	2026-08-29	xor.ad/docs/test-map_RU.md:194	xor.ad/docs/test-map_EN.md:193	Стикер несёт имя во все три лица	A sticker carries a name into all three faces
test-map.2026-08-29.180	2026-08-29	xor.ad/docs/test-map_RU.md:195	xor.ad/docs/test-map_EN.md:194	У скидки свой срок, у карточки свой	The discount has its own term, the card has its own
test-map.2026-08-29.181	2026-08-29	xor.ad/docs/test-map_RU.md:196	xor.ad/docs/test-map_EN.md:195	Доска ходит с клавиатуры и говорит словами	The board moves from a keyboard and speaks in words
test-map.2026-08-29.182	2026-08-29	xor.ad/docs/test-map_RU.md:197	xor.ad/docs/test-map_EN.md:196	Заново и отмена — по согласию всех	Play-again and undo take everyone's agreement
test-map.2026-08-30.183	2026-08-30	xor.ad/docs/test-map_RU.md:198	xor.ad/docs/test-map_EN.md:197	Стол не тратит квоту	A table spends no quota
test-map.2026-08-30.184	2026-08-30	xor.ad/docs/test-map_RU.md:199	xor.ad/docs/test-map_EN.md:198	Отлучка уносит и то, что в очереди	A break takes what is in the queue too
test-map.2026-08-31.134	2026-08-31	xor.ad/docs/test-map_RU.md:149	xor.ad/docs/test-map_EN.md:148	Зона — только одна из пяти ступеней	A zone is one of five steps and nothing else
test-map.2026-08-31.185	2026-08-31	xor.ad/docs/test-map_RU.md:200	xor.ad/docs/test-map_EN.md:199	Координаты в выдаче округлены до клетки	Coordinates in a response are rounded to a cell
test-map.2026-08-31.186	2026-08-31	xor.ad/docs/test-map_RU.md:201	xor.ad/docs/test-map_EN.md:200	Радиус — только ступень	The radius is a step and nothing else
neighbro-legal.2026-08-29.12	2026-08-29	neighbro.place/docs/15-legal-documents_RU.md:22	neighbro.place/docs/15-legal-documents_EN.md:23	Кто оператор и куда писать	Who the operator is and where to write
sosed-legal.2026-08-29.12	2026-08-29	sosed.place/docs/15-legal-documents_RU.md:22	sosed.place/docs/15-legal-documents_EN.md:23	Кто оператор и куда писать	Who the operator is and where to write
dsa-README.2027-08-05.81	2027-08-05	xor.ad/docs/dsa/README_RU.md:97	xor.ad/docs/dsa/README_EN.md:100	Следующая проверка	Next check
neighbro-seo.2026-07-27.42	2026-07-27	neighbro.place/docs/SEO_AND_ANALYTICS_RU.md:42	neighbro.place/docs/SEO_AND_ANALYTICS_EN.md:45	Свой счётчик просмотров	Our own page counter
open-work.2026-07-28.56	2026-07-28	xor.ad/docs/open-work_RU.md:56	xor.ad/docs/open-work_EN.md:59	включён во всех средах	in every environment
api-platform.2026-07-29.146	2026-07-29	xor.ad/docs/api-platform_RU.md:147	xor.ad/docs/api-platform_EN.md:151	Самостоятельной регистрации не будет	There will be no self-service registration
dsa-CHECKLIST.2026-08-05.42	2026-08-05	xor.ad/docs/dsa/CHECKLIST_RU.md:42	xor.ad/docs/dsa/CHECKLIST_EN.md:43	Разграничение доступа	Access control
article-30.2026-08-07.246	2026-08-07	xor.ad/docs/article-30-register_RU.md:326	xor.ad/docs/article-30-register_EN.md:338	Push-уведомления отменены	Push notifications cancelled
dsa-CHECKLIST.2026-08-09.63	2026-08-09	xor.ad/docs/dsa/CHECKLIST_RU.md:63	xor.ad/docs/dsa/CHECKLIST_EN.md:67	Сквозная проверка на staging	An end-to-end check on staging
open-work.2026-08-10.548	2026-08-10	xor.ad/docs/open-work_RU.md:548	xor.ad/docs/open-work_EN.md:558	Механизм уведомлений по ст. 16 DSA	Art. 16 notice mechanism
open-work.2026-08-11.1368	2026-08-11	xor.ad/docs/open-work_RU.md:1713	xor.ad/docs/open-work_EN.md:1793	стал фактом, а не намерением	became a fact rather than an intention
deployment.2026-08-13.149	2026-08-13	xor.ad/docs/deployment_RU.md:169	xor.ad/docs/deployment_EN.md:179	стояло 0664	until 2026-08-13
open-work.2026-08-14.265	2026-08-14	xor.ad/docs/open-work_RU.md:265	xor.ad/docs/open-work_EN.md:269	Первая половина была закрыта	The first half was closed
open-work.2026-08-16.991	2026-08-16	xor.ad/docs/open-work_RU.md:991	xor.ad/docs/open-work_EN.md:1026	включить Shield Basic	turn on Shield Basic
chat.2026-08-21.248	2026-08-21	xor.ad/docs/chat_RU.md:698	xor.ad/docs/chat_EN.md:704	Сокет авторизуется билетом	The socket is authorised by a ticket
panel.2026-08-23.11	2026-08-23	xor.ad/docs/panel_RU.md:11	xor.ad/docs/panel_EN.md:11	Банов в коде нет нигде	Bans are named nowhere in the code
open-work.2026-09-01.1024	2026-09-01	xor.ad/docs/open-work_RU.md:1024	xor.ad/docs/open-work_EN.md:1061	Режим Shield решён 01.09.2026	The Shield mode was decided 2026-09-01
migrations-step1.2026-09-02.40	2026-09-02	xor.ad/docs/migrations-step1_RU.md:57	xor.ad/docs/migrations-step1_EN.md:61	Номера прыгают, и это не опечатка (правка 02.09.2026).	The numbers jump, and it is not a typo (fixed 2026-09-02).
screens.2026-09-03.47	2026-09-03	sosed.place/docs/11-empty-and-edge-states_RU.md:108	sosed.place/docs/11-empty-and-edge-states_EN.md:110	Написаны 03.09.2026, до рисования — и это решение.	Written 2026-09-03, before the drawing — and that is a decision.
open-work.2026-09-03.1062	2026-09-03	xor.ad/docs/open-work_RU.md:1102	xor.ad/docs/open-work_EN.md:1143	Правило найдено 03.09.2026 — `952100`	The rule was found on 2026-09-03 — `952100`
open-work.2026-09-03.1092	2026-09-03	xor.ad/docs/open-work_RU.md:1132	xor.ad/docs/open-work_EN.md:1176	Решено замером 03.09.2026	Settled by measurement on 2026-09-03
open-work.2026-09-03.1035	2026-09-03	xor.ad/docs/open-work_RU.md:1035	xor.ad/docs/open-work_EN.md:1072	Блокирует с 03.09.2026 — `panel-prod`	Blocking since 2026-09-03 — `panel-prod`
chat.2026-09-03.854	2026-09-03	xor.ad/docs/chat_RU.md:1497	xor.ad/docs/chat_EN.md:1518	Панель ревью 03.09.2026 показала, что единой границы у трёх поверхностей быть не может	A review panel on 2026-09-03 showed that one boundary cannot serve all three surfaces
ontology.2026-09-03.54	2026-09-03	xor.ad/docs/facts/ontology_RU.md:54	xor.ad/docs/facts/ontology_EN.md:55	Четвёртый вид срока — «с запуском» — заведён 03.09.2026.	A fourth kind of due date — `с запуском`, "on launch" — was added on 2026-09-03.
ontology.2026-09-03.62	2026-09-03	xor.ad/docs/facts/ontology_RU.md:62	xor.ad/docs/facts/ontology_EN.md:64	Адрес открытого пункта держится якорем, а не номером — с 03.09.2026.	An open item's address is held by an anchor, not by a line number — since 2026-09-03.
ontology.2026-09-03.100	2026-09-03	xor.ad/docs/facts/ontology_RU.md:100	xor.ad/docs/facts/ontology_EN.md:105	С 03.09.2026 пробы есть у всех шести ворот	Since 2026-09-03 all six gates have a probe that
ontology.2026-09-03.89	2026-09-03	xor.ad/docs/facts/ontology_RU.md:89	xor.ad/docs/facts/ontology_EN.md:93	Номер строки в `declared_in` сверяется с объявлением — с 03.09.2026.	Since 2026-09-03 the line number in `declared_in` is reconciled against the
open-work.2026-09-04.1179	2026-09-20	xor.ad/docs/open-work_RU.md:1179	xor.ad/docs/open-work_EN.md:1227	Закрыть пока нечем, и перемерено 20.09.2026	Nothing can close it yet, and it was re-measured 2026-09-20
open-work.2026-09-04.1184	2026-09-04	xor.ad/docs/open-work_RU.md:1185	xor.ad/docs/open-work_EN.md:1234	(заведены 04.09.2026).** Ворота спрашивают узел сами	(filed 2026-09-04).** The gate asks the
chat.2026-09-07.937	2026-09-07	xor.ad/docs/chat_RU.md:1649	xor.ad/docs/chat_EN.md:1672	Правка 07.09.2026 по панели ревью.	Edited 2026-09-07 after a review panel.
refusal-wordings.2026-09-07.86	2026-09-07	xor.ad/docs/refusal-wordings_RU.md:120	xor.ad/docs/refusal-wordings_EN.md:130	«За час», а не «подряд» — правка 07.09.2026	rather than "in a row" — edited 2026-09-07
test-map.2026-09-07.128	2026-09-07	xor.ad/docs/test-map_RU.md:141	xor.ad/docs/test-map_EN.md:140	Успешная публикация счётчик отказов не обнуляет	A successful publication does not zero the refusal counter
test-map.2026-09-07.129	2026-09-07	xor.ad/docs/test-map_RU.md:143	xor.ad/docs/test-map_EN.md:142	Отлучка не снимает ни часовой предел, ни паузу	Stepping away lifts neither the hourly limit nor the pause
chat.2026-09-07.852	2026-09-07	xor.ad/docs/chat_RU.md:1491	xor.ad/docs/chat_EN.md:1512	Граница снимка — по видимости для заявителя. Решено 07.09.2026.	The snapshot is bounded by what the notifier could see. Decided 2026-09-07.
article-30-register.2026-09-08.124	2026-09-08	xor.ad/docs/article-30-register_RU.md:170	xor.ad/docs/article-30-register_EN.md:178	До 08.09.2026 здесь	Until 2026-09-08 this
refusal-wordings.2026-09-15.219	2026-09-15	xor.ad/docs/refusal-wordings_RU.md:228	xor.ad/docs/refusal-wordings_EN.md:244	Предел ожидания — 10 минут. Решено 15.09.2026.	The waiting limit is 10 minutes. Decided 2026-09-15.
refusal-wordings.2026-09-08.170	2026-09-08	xor.ad/docs/refusal-wordings_RU.md:236	xor.ad/docs/refusal-wordings_EN.md:253	Время освобождения слота не показывается. Решено	The time a slot frees is not shown. Decided
chat.2026-09-08.143	2026-09-08	xor.ad/docs/chat_RU.md:312	xor.ad/docs/chat_EN.md:294	по сидящим сейчас, и она пересчитывается. Решено	is its current sitters', and it is recomputed. Decided
protocol.2026-09-08.222	2026-09-08	xor.ad/docs/protocol_RU.md:491	xor.ad/docs/protocol_EN.md:506	пауза 15 минут. Решено	pause. Decided 2026-09-08.** Fifty wrong paper codes
chat.2026-09-08.197	2026-09-08	xor.ad/docs/chat_RU.md:502	xor.ad/docs/chat_EN.md:496	не держит — решено 08.09.2026.	equal — decided 2026-09-08.
chat.2026-09-08.256	2026-09-08	xor.ad/docs/chat_RU.md:652	xor.ad/docs/chat_EN.md:653	Высадка выпроваживает, но не запирает — решено 08.09.2026.	Being shown out is not being locked out — decided 2026-09-08.
chat.2026-09-09.302	2026-09-09	xor.ad/docs/chat_RU.md:572	xor.ad/docs/chat_EN.md:568	после блокировки. Решено 09.09.2026.	counted after blocks. Decided 2026-09-09.
chat.2026-09-09.314	2026-09-09	xor.ad/docs/chat_RU.md:592	xor.ad/docs/chat_EN.md:593	Сесть за стол и играть за столом — разные вещи, решено 09.09.2026.	2026-09-09.** Someone who sits down
chat.2026-09-09.204	2026-09-09	xor.ad/docs/chat_RU.md:362	xor.ad/docs/chat_EN.md:344	За одним столом одновременно — решено 09.09.2026.	One table at a time — decided 2026-09-09.
chat.2026-09-09.066	2026-09-09	xor.ad/docs/chat_RU.md:66	xor.ad/docs/chat_EN.md:66	Минимальные правила вводятся — решено 09.09.2026	Minimal rules are introduced — decided 2026-09-09
chat.2026-09-09.097	2026-09-09	xor.ad/docs/chat_RU.md:132	xor.ad/docs/chat_EN.md:132	Ходы и состояние игры не шифруются — решено 09.09.2026.	Moves and game state are not encrypted — decided 2026-09-09.
chat.2026-09-10.461	2026-09-10	xor.ad/docs/chat_RU.md:585	xor.ad/docs/chat_EN.md:584	записано 10.09.2026).	one (a consequence, written down 2026-09-10).
chat.2026-09-11.706	2026-09-11	xor.ad/docs/chat_RU.md:748	xor.ad/docs/chat_EN.md:754	**Поэтому v1 раздаёт из памяти процесса — решено 11.09.2026.**	**So v1 fans out from process memory — decided 2026-09-11.**
chat.2026-09-11.1010	2026-09-11	xor.ad/docs/chat_RU.md:1098	xor.ad/docs/chat_EN.md:1113	**Заморозка сжигает долю хранилища — решено 11.09.2026.**	**Freezing burns the vault share — decided 2026-09-11.**
chat.2026-09-11.1028	2026-09-11	xor.ad/docs/chat_RU.md:1116	xor.ad/docs/chat_EN.md:1131	**64 МБ и t=3 — замерено 11.09.2026, а не выбрано на глаз.**	**64 MB and t=3 are measured as of 2026-09-11, not guessed.**
chat.2026-09-11.1182	2026-09-11	xor.ad/docs/chat_RU.md:1319	xor.ad/docs/chat_EN.md:1338	**Этим же закрыто вытеснение хранилища браузером — записано 11.09.2026.**	**This also covers the browser evicting the storage — written down 2026-09-11.**
chat.2026-09-11.2520	2026-09-11	xor.ad/docs/chat_RU.md:2835	xor.ad/docs/chat_EN.md:2876	**Первая миграция несёт десять таблиц, а не двадцать четыре — решено 11.09.2026.**	**The first migration carries ten tables, not twenty-four — decided 2026-09-11.**
chat.2026-09-12.2044	2026-09-12	xor.ad/docs/chat_RU.md:2301	xor.ad/docs/chat_EN.md:2325	**Состояния «доставлено» и «прочитано» не существует — решено 12.09.2026.**	**There is no "delivered" and no "read" state — decided 2026-09-12.**
chat.2026-09-11.2255	2026-09-11	xor.ad/docs/chat_RU.md:2529	xor.ad/docs/chat_EN.md:2558	**Доставка при возвращении собеседника есть — решено 11.09.2026, уточнено	**Delivery when the other person returns does happen — decided 2026-09-11,
chat.2026-09-14.1206	2026-09-14	xor.ad/docs/chat_RU.md:1297	xor.ad/docs/chat_EN.md:1316	Десятая неверная попытка закрывает вход на этом устройстве до бумажного кода, но долю не сжигает — решено 14.09.2026	The tenth wrong attempt locks access on this device until the paper code, but does not burn the share — decided 2026-09-14
protocol.2026-09-14.240	2026-09-14	xor.ad/docs/protocol_RU.md:507	xor.ad/docs/protocol_EN.md:523	С 14.09.2026 у паузы вторая цена, и она тоже принята.	Since 2026-09-14 the pause has a second price, and it is accepted too.
chat.2026-09-14.2681	2026-09-14	xor.ad/docs/chat_RU.md:2871	xor.ad/docs/chat_EN.md:2913	Номер обращения случайный, ответ — только владельцу, предел — три в сутки со строкой почты — решено 14.09.2026	The request number is random, the answer goes only to its owner, the cap is three a day with an email line — decided 2026-09-14
legal-review-brief.2026-09-15.244	2026-09-15	xor.ad/docs/legal-review-brief_RU.md:278	xor.ad/docs/legal-review-brief_EN.md:284	в продукте с личностью — галочка, до которой нельзя публиковать	inside the product, with an identity, a checkbox that publishing waits for
screens.2026-09-15.23	2026-09-15	sosed.place/docs/22-appearance_RU.md:23	sosed.place/docs/22-appearance_EN.md:23	Выбор хранится у личности на узле	The choice is kept with the identity on the node
screens.2026-09-15.43	2026-09-15	sosed.place/docs/22-appearance_RU.md:43	sosed.place/docs/22-appearance_EN.md:43	Можно ли выбрать свой цвет	Can one pick one's own colour
chat.2026-09-15.2564	2026-09-15	xor.ad/docs/chat_RU.md:2724	xor.ad/docs/chat_EN.md:2760	перебирает акцентный цвет по кругу набора витрины	cycles the accent colour round the storefront's set
depth-client.2026-09-15.853	2026-09-15	xor.ad/docs/depth-client_RU.md:1262	xor.ad/docs/depth-client_EN.md:1319	шестнадцать цветов эмулятора	the emulator's sixteen colours
design-system-app.2026-09-15.120	2026-09-15	xor.ad/docs/design-system-app_RU.md:514	xor.ad/docs/design-system-app_EN.md:533	токены из него не берутся	and no tokens are taken from it
chat.2026-09-15.762	2026-09-15	xor.ad/docs/chat_RU.md:803	xor.ad/docs/chat_EN.md:811	Оформление — по строке на лицо, а не колонки личности	Appearance — one row per face, not columns on the identity
screens.2026-09-15.41	2026-09-15	sosed.place/docs/23-phrase-viewer_RU.md:46	sosed.place/docs/23-phrase-viewer_EN.md:46	~~Что делает свайп~~	~~What a swipe does~~
screens.2026-09-15.40	2026-09-15	sosed.place/docs/24-hints_RU.md:41	sosed.place/docs/24-hints_EN.md:41	~~Отдельный проход или по месту~~	~~A separate walk-through or in place~~
screens.2026-09-15.34	2026-09-15	sosed.place/docs/03-feed-screen_RU.md:37	sosed.place/docs/03-feed-screen_EN.md:37	## Широкий экран (решено 15.09.2026)	## Wide screen (decided 2026-09-15)
screens.2026-09-15.167	2026-09-15	sosed.place/docs/00-mechanics_RU.md:169	sosed.place/docs/00-mechanics_EN.md:185	(решено 15.09.2026 по сверке экранов). Доля решена	(decided 2026-09-15 by the screen cross-check). The share
chat.2026-09-15.1852	2026-09-15	xor.ad/docs/chat_RU.md:1967	xor.ad/docs/chat_EN.md:2006	Лайк снимается, пока из него не вышел мэтч — решено 15.09.2026.	A like can be taken back until a match has come of it — decided 2026-09-15.
