# Пределы платформы: одно число — одна строка, и перечень файлов, где оно обязано стоять.
#
# Зачем. 31.08.2026 радиус зоны стал пятью ступенями в гейте, а канонические
# механики обеих витрин остались с непрерывным диапазоном 100–10000: одно решение,
# шесть файлов, три репозитория, и ни одна из двенадцати проверок этого не увидела.
# Реестр держит число один раз и знает, где оно должно повториться.
#
# Колонки:
#   id           короткое имя факта, устойчивое к переписыванию текста
#   values       значения через пробел; каждое обязано найтись в каждом файле places
#   unit         единица измерения, для человека
#   what         что это, одной строкой
#   enforced_by  кто удерживает: база | узел | клиент | конфиг | документ
#   places       файлы от корня группы через запятую; там число обязано быть
#   executor     кто исполняет срок узла (заведено 15.09.2026, сторож С4 docs/watchdogs_RU.md):
#                имя задачи из relay/node/src/lib/scheduled.ts, id пункта docs/facts/open.tsv,
#                если исполнителя ещё нет, или «запрос» — срок проверяется при самом запросе и
#                задачи не требует. Обязателен у строк enforced_by = узел, чья единица — время
#                (секунды, минуты, часы, дни; с 15.09.2026 ворота отбирают по единице, а не по
#                имени id — OPS-5 финальной панели); у остальных пуст.
#
# Проверяет scripts/check-facts-limits.sh — в обе стороны: значение реестра
# обязано найтись в каждом своём файле, а каждая строка таблицы «Пределы» в
# protocol_{RU,EN}.md обязана иметь строку здесь.
#
# Граница честности: проверка ищет число как отдельный токен во всём файле, а не
# в конкретном предложении. Для «4» это почти всегда истина и потому слабо; вся
# сила — на числах, которые лежат в нескольких файлах и расходятся.
#
id	values	unit	what	enforced_by	places	executor
chat.idle.ttl	10 30 60 260	минут	ручка срока беседы, своя у каждого	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	sweep_chats
name.length	24	графем	длина имени: 24 графемы и не длиннее 400 байт — вторая граница не формальность, 24 составных эмодзи это 600 байт (замер 21.09.2026)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/02-name-screen_RU.md,sosed.place/docs/02-name-screen_EN.md,neighbro.place/docs/02-name-screen_RU.md,neighbro.place/docs/02-name-screen_EN.md	
invite.lifetime	120	секунд	жизнь приглашения	узел	xor.ad/docs/test-map_RU.md,xor.ad/docs/test-map_EN.md	запрос
stickers.catalogue.wire	150	КБ	потолок каталога стикеров на проводе	клиент	sosed.place/docs/16-stickers_RU.md,sosed.place/docs/16-stickers_EN.md,neighbro.place/docs/16-stickers_RU.md,neighbro.place/docs/16-stickers_EN.md	
dump.min.size	512	байт	минимальный размер дампа, меньше — отказ	скрипт	xor.ad/docs/open-work_RU.md,xor.ad/docs/open-work_EN.md	
prune.window.min	7	дней	минимальное окно очистки, меньше — отказ	скрипт	xor.ad/docs/open-work_RU.md,xor.ad/docs/open-work_EN.md	
recovery.code.length	16	символов	длина кода восстановления, Crockford base32	клиент	xor.ad/docs/chat-flows_RU.md,xor.ad/docs/chat-flows_EN.md	
feed.radius.ceiling	25	км	потолок радиуса, до которого лента расширяется на пустой выдаче	узел	xor.ad/docs/chat-flows_RU.md,xor.ad/docs/chat-flows_EN.md,sosed.place/docs/03-feed-screen_RU.md,sosed.place/docs/03-feed-screen_EN.md,neighbro.place/docs/03-feed-screen_RU.md,neighbro.place/docs/03-feed-screen_EN.md	
analytics.detail.retention	14	дней	срок хранения подробных просмотров до свёртки	узел	xor.ad/docs/open-work_RU.md,xor.ad/docs/open-work_EN.md,sosed.place/docs/00-mechanics_RU.md,sosed.place/docs/00-mechanics_EN.md,neighbro.place/docs/00-mechanics_RU.md,neighbro.place/docs/00-mechanics_EN.md	prune_pageviews
useragent.stored.length	300	символов	сколько строки user-agent хранится в отчёте CSP	узел	xor.ad/docs/test-map_RU.md,xor.ad/docs/test-map_EN.md	
posting.silence.mute	15	минут	молчание без публикации, после которого включается ограничение	узел	xor.ad/docs/chat-flows_RU.md,xor.ad/docs/chat-flows_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
feed.phrase.span	4	часа	жизнь фразы в ленте — 4 часа 20 минут (ворота ловят только токен «4»: «20» стоит рядом со словом «минут», отдельного значения не образует — панель 22.09.2026)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	sweep_feed_expired
away.span.short	20	минут	короткая ступень отлучки	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/20-step-away_RU.md,sosed.place/docs/20-step-away_EN.md,neighbro.place/docs/20-step-away_RU.md,neighbro.place/docs/20-step-away_EN.md,sosed.place/docs/10-settings-screen_RU.md,sosed.place/docs/10-settings-screen_EN.md,neighbro.place/docs/10-settings-screen_RU.md,neighbro.place/docs/10-settings-screen_EN.md	запрос
away.span.hour	1	час	средняя ступень отлучки	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
away.span.long	4	часа	длинная ступень отлучки, заменила «до утра» и «8 часов» 14.09.2026	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/20-step-away_RU.md,sosed.place/docs/20-step-away_EN.md,neighbro.place/docs/20-step-away_RU.md,neighbro.place/docs/20-step-away_EN.md,sosed.place/docs/10-settings-screen_RU.md,sosed.place/docs/10-settings-screen_EN.md,neighbro.place/docs/10-settings-screen_RU.md,neighbro.place/docs/10-settings-screen_EN.md	запрос
dsa.reply.target	72	часа	срок решения и ответа заявителю	узел	xor.ad/docs/dsa/SPEC_RU.md,xor.ad/docs/dsa/SPEC_EN.md	dsa_notice_age
offer.card.device.retention	90	дней	сколько карточка живёт на устройстве после оффера	клиент	xor.ad/docs/offers/SPEC_RU.md,xor.ad/docs/offers/SPEC_EN.md	
transfer.code.length	9	символов	длина кода переноса личности, Crockford base32	клиент	xor.ad/docs/chat-flows_RU.md,xor.ad/docs/chat-flows_EN.md	
panel.label.clip	42	символов	обрезка метки в таблице панели	панель	xor.ad/docs/panel-refactor_RU.md,xor.ad/docs/panel-refactor_EN.md	
audit.log.retention	365	дней	срок хранения общего аудит-лога панели	панель	xor.ad/docs/offers/SPEC_RU.md,xor.ad/docs/offers/SPEC_EN.md	
identity.deletion.delay	30	дней	срок удаления закрытой личности	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/00-mechanics_RU.md,sosed.place/docs/00-mechanics_EN.md,neighbro.place/docs/00-mechanics_RU.md,neighbro.place/docs/00-mechanics_EN.md	identity.sweeper
seo.sitemap.sosed	19	адресов	адресов в sitemap витрины sosed	конфиг	sosed.place/docs/SEO_AND_ANALYTICS_RU.md,sosed.place/docs/SEO_AND_ANALYTICS_EN.md	
seo.hreflang.sosed	18	ссылок	альтернатив hreflang в шапке страницы sosed	конфиг	sosed.place/docs/SEO_AND_ANALYTICS_RU.md,sosed.place/docs/SEO_AND_ANALYTICS_EN.md	
seo.sitemap.neighbro	12	адресов	адресов в sitemap витрины neighbro	конфиг	neighbro.place/docs/SEO_AND_ANALYTICS_RU.md,neighbro.place/docs/SEO_AND_ANALYTICS_EN.md	
seo.hreflang.neighbro	11	ссылок	альтернатив hreflang в шапке страницы neighbro	конфиг	neighbro.place/docs/SEO_AND_ANALYTICS_RU.md,neighbro.place/docs/SEO_AND_ANALYTICS_EN.md	
node.log.size	50	МБ	потолок файла логов одного сервиса, три файла на сервис	конфиг	xor.ad/docs/runbook-node-down_RU.md,xor.ad/docs/runbook-node-down_EN.md	
recovery.miss.shared	50	промахов	неверных бумажных кодов за час на узел до паузы	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
recovery.miss.pause	15	минут	пауза приёма кодов восстановления при достижении общего порога	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	запрос
refusal.checking.longer	60	секунд	сколько строка «проверяется…» держится до «дольше обычного»	клиент	xor.ad/docs/refusal-wordings_RU.md,xor.ad/docs/refusal-wordings_EN.md,sosed.place/docs/11-empty-and-edge-states_RU.md,sosed.place/docs/11-empty-and-edge-states_EN.md,neighbro.place/docs/11-empty-and-edge-states_RU.md,neighbro.place/docs/11-empty-and-edge-states_EN.md	
table.confirm.window	30	секунд	срок подтвердить участие в новой игре за столом	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/19-table_RU.md,sosed.place/docs/19-table_EN.md,neighbro.place/docs/19-table_RU.md,neighbro.place/docs/19-table_EN.md	table.timers.unbuilt
signup.unfinished.ttl	1	час	незавершённая регистрация сносится каскадом от identities	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/02-name-screen_RU.md,sosed.place/docs/02-name-screen_EN.md,neighbro.place/docs/02-name-screen_RU.md,neighbro.place/docs/02-name-screen_EN.md	identity.sweeper
feed.page.size	30	карточек	размер одной страницы ленты, дальше добор по времени	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/03-feed-screen_RU.md,sosed.place/docs/03-feed-screen_EN.md,neighbro.place/docs/03-feed-screen_RU.md,neighbro.place/docs/03-feed-screen_EN.md,sosed.place/docs/25-my-likes_RU.md,sosed.place/docs/25-my-likes_EN.md,neighbro.place/docs/25-my-likes_RU.md,neighbro.place/docs/25-my-likes_EN.md	
table.move.window	5	минут	срок на ход за столом, дальше автоматический пас	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/19-table_RU.md,sosed.place/docs/19-table_EN.md,neighbro.place/docs/19-table_RU.md,neighbro.place/docs/19-table_EN.md	table.timers.unbuilt
table.pass.limit	3	паса	подряд пропущенных хода переводят играющего в зрители	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/19-table_RU.md,sosed.place/docs/19-table_EN.md,neighbro.place/docs/19-table_RU.md,neighbro.place/docs/19-table_EN.md	
chat.pending.max	200	сообщений	потолок очереди недоставленного на пару (беседа, получатель); сверх — вытесняется старейшее, молча	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
chat.pending.ttl	260	минут	предельный срок жизни строки очереди, дальше её уносит уборщик	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	sweep_pending
watchdog.notice.remind	24	часа	возраст неразобранного уведомления по ст. 16, после которого напоминание (сторож С1)	узел	xor.ad/docs/watchdogs_RU.md,xor.ad/docs/watchdogs_EN.md	dsa_notice_age
watchdog.notice.escalate	48	часов	возраст неразобранного уведомления по ст. 16, после которого эскалация на личные адреса (сторож С1)	узел	xor.ad/docs/watchdogs_RU.md,xor.ad/docs/watchdogs_EN.md	dsa_notice_age
dsa.night_path.hour	6	за час	копий нового уведомления на личные адреса DSA_ESCALATION_EMAILS в час, остальные — одной сводкой после часа (решение владельца 23.09.2026; сторож С2)	узел	xor.ad/docs/watchdogs_RU.md,xor.ad/docs/watchdogs_EN.md,xor.ad/docs/dsa/SPEC_RU.md,xor.ad/docs/dsa/SPEC_EN.md	dsa_notice_notify
claim.miss.shared	50	промахов	неверных кодов переноса за час на узел до паузы, как у восстановления (15.09.2026, SEC-4)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
claim.miss.pause	15	минут	пауза приёма кодов переноса при достижении общего порога (15.09.2026, SEC-4)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
identities.create.hour	10	запросов	заведений личности в час по адресу (15.09.2026, SEC-9)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/api/openapi.yaml	
identities.create.day	30	запросов	заведений личности в сутки по адресу (15.09.2026, SEC-9)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/api/openapi.yaml	
recovery.claim.hour	10	запросов	подъёмов бумажным кодом в час по адресу (20.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
recovery.claim.day	30	запросов	подъёмов бумажным кодом в сутки по адресу (20.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
transfer.invite.hour	10	запросов	окон переноса в час по адресу (21.09.2026, open-work P2)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
transfer.invite.day	30	запросов	окон переноса в сутки по адресу (21.09.2026, open-work P2)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
like.hour	300	запросов	лайков и снятий в час на личность, тормоз от скрипта (владелец 21.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
chat.alive.ids	200	идентификаторов	потолок списка в POST /chats/alive; спека говорила «ограничена» без числа — технический выбор 21.09.2026	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
vault.first_pin.ttl	1	час	срок одноразового права «первый ПИН» после восстановления или переноса (решение владельца 21.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	запрос
feed.density.burst	100	запросов	запросов плотности в час по личности, после которых это снятие профиля, а не человек (окно — час, решение владельца 21.09.2026; до того реестр говорил «подряд», а код считал час) (chat §8.3, 15.09.2026, SEC-9)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,xor.ad/docs/api/openapi.yaml	
moderation.queue.wait	10	минут	предел ожидания вердикта; дальше строка очереди удаляется, в счётчик паузы не идёт (15.09.2026, OPS-7)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,xor.ad/docs/watchdogs_RU.md,xor.ad/docs/watchdogs_EN.md	sweep_feed_queue
identity.inactive.retention	365	дней	личность без живой сессии столько дней закрывается и через 30 дней удаляется (15.09.2026, LAW-7)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	identity.sweeper
area.approx.default	5000	метров	круг просмотра по умолчанию для приблизительной точки (для поставленной рукой — 3 км), решено 15.09.2026 (CON-6)	клиент	sosed.place/docs/00-mechanics_RU.md,sosed.place/docs/00-mechanics_EN.md,neighbro.place/docs/00-mechanics_RU.md,neighbro.place/docs/00-mechanics_EN.md	
tables.create.hour	4	за час	постановок столов в час на личность (16.09.2026, OPS-13)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
seat.attempts.hour	30	за час	попыток подсесть в час на личность (16.09.2026, SEC-2)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
blocks.hour	20	за час	блокировок в час на личность (16.09.2026, SEC-1)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
hidden.hour	60	за час	скрытий в час на личность (16.09.2026, OPS-13)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
sticker.minute	6	в минуту	стикеров за столом в минуту на личность (16.09.2026, SEC-5)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
profile.patch.day	10	в сутки	правок профиля в сутки на личность (16.09.2026, OPS-13)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
reissue.day	3	в сутки	перевыпусков бумажного кода в сутки на личность (16.09.2026, OPS-13)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
ticket.lifetime	30	секунд	жизнь одноразового билета сокета беседы и стола (16.09.2026, SEC-15)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	запрос
nonce.bytes	16	байт	длина nonce у одноразовых действий (протокол §2, 16.09.2026, SEC-3)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
backup.age.alert	26	часов	порог возраста последнего дампа у сторожа С7, переменная узла BACKUP_AGE_ALERT_HOURS (16.09.2026, OPS-14)	узел	xor.ad/docs/watchdogs_RU.md,xor.ad/docs/watchdogs_EN.md	backup.silent.failure
chat.messages.minute	60	в минуту	сообщений в беседе в минуту на личность (16.09.2026, SEC-18)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
nonce.ttl	10	минут	жизнь пары (сессия, nonce) в таблице nonces (16.09.2026, OPS-1)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	prune_nonces
table.name.length	24	графем	имя стола, необязательное, через очередь модерации (решение владельца 17.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
console.lines.max	200	строк	потолок консоли «Что происходило» на устройстве, старые вытесняются (21-console)	клиент	sosed.place/docs/21-console_RU.md,sosed.place/docs/21-console_EN.md,neighbro.place/docs/21-console_RU.md,neighbro.place/docs/21-console_EN.md	
likes.soon.threshold	65	минут	остаток чужой фразы, с которого в ленте, карточке во весь экран и «Моих лайках» стоит «скоро исчезнет» вместо числа (25-my-likes); с 23.09.2026 узел шлёт флаг soon, а не время	узел	sosed.place/docs/25-my-likes_RU.md,sosed.place/docs/25-my-likes_EN.md,neighbro.place/docs/25-my-likes_RU.md,neighbro.place/docs/25-my-likes_EN.md,xor.ad/docs/depth-client_RU.md,xor.ad/docs/depth-client_EN.md,xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,xor.ad/docs/api/openapi.yaml	запрос
offer.link.ttl	15	минут	срок жизни ссылки входа в кабинет заведения из письма; гаснет при первом использовании (offers/SPEC §2)	узел	xor.ad/docs/offers/SPEC_RU.md,xor.ad/docs/offers/SPEC_EN.md	запрос
offer.autohide.complaints	3	жалоб	жалоб от разных людей, после которых оффер скрывается до разбора (AUTOHIDE_COMPLAINTS)	узел	xor.ad/docs/offers/SPEC_RU.md,xor.ad/docs/offers/SPEC_EN.md	
offer.complaint.examination	24	часа	срок разбора скрытого оффера (COMPLAINT_EXAMINATION_HOURS)	узел	xor.ad/docs/offers/SPEC_RU.md,xor.ad/docs/offers/SPEC_EN.md	запрос
offer.suspend.window	90	дней	окно, в котором считаются обоснованные жалобы по разным офферам до приостановки заведения (SUSPEND_WINDOW_DAYS; порог — 3, SUSPEND_RESOLVED_COUNT)	узел	xor.ad/docs/offers/SPEC_RU.md,xor.ad/docs/offers/SPEC_EN.md	запрос
feed.nearby.floor	5	человек	с какого числа шапка ленты показывает «рядом N человек»; ниже — «рядом мало людей» (огонёк, 18.09.2026)	клиент	sosed.place/docs/03-feed-screen_RU.md,sosed.place/docs/03-feed-screen_EN.md,neighbro.place/docs/03-feed-screen_RU.md,neighbro.place/docs/03-feed-screen_EN.md	
feed.read.hour	300	запросов	чтений ленты в час по личности: веер из личностей ради вычисления возраста автора дорожает (панель ревью 21.09.2026, решение владельца)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md
safety.code.digits	20	цифр	длина кода безопасности: пять групп по четыре, около 66 бит; выводится из долгих ключей обеих личностей (решение владельца 22.09.2026)	клиент	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
request.body.bytes	1048576	байт	потолок тела любого запроса к узлу, 413 сверх (24.09.2026, панель owner-decisions)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
request.body.deadline	30	секунд	срок, за который тело запроса должно прийти целиком, 408 сверх (24.09.2026, панель цикла)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	запрос
logs.retention	30	дней	срок хранения серверных логов, ошибок клиента и отчётов CSP (политика приватности витрин §5 «Server logs and client errors: 30 days»)	узел	sosed.place/landing/legal/privacy_EN.md,neighbro.place/landing/legal/privacy_EN.md	prune_objects
dsa.records.retention	1	год	срок хранения уведомления по ст. 16, снятой копии и мотивировки по ст. 17 (политика приватности витрин §5 «1 year»)	узел	sosed.place/landing/legal/privacy_EN.md,neighbro.place/landing/legal/privacy_EN.md	prune_dsa_records
backup.retention	14	дней	срок хранения ночного дампа базы (политика приватности витрин §5 «14 days»)	конфиг	sosed.place/landing/legal/privacy_EN.md,neighbro.place/landing/legal/privacy_EN.md	
